Date,Recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,3.0
2020-02-21,3.0
2020-02-22,3.0
2020-02-23,3.0
2020-02-24,3.0
2020-02-25,3.0
2020-02-26,3.0
2020-02-27,3.0
2020-02-28,3.0
2020-02-29,3.0
2020-03-01,3.0
2020-03-02,3.0
2020-03-03,3.0
2020-03-04,3.0
2020-03-05,3.0
2020-03-06,3.0
2020-03-07,3.0
2020-03-08,3.0
2020-03-09,3.0
2020-03-10,4.0
2020-03-11,4.0
2020-03-12,4.0
2020-03-13,4.0
2020-03-14,4.0
2020-03-15,13.0
2020-03-16,13.0
2020-03-17,14.0
2020-03-18,14.0
2020-03-19,15.0
2020-03-20,20.0
2020-03-21,23.0
2020-03-22,27.0
2020-03-23,27.0
2020-03-24,40.0
2020-03-25,43.0
2020-03-26,45.0
2020-03-27,73.0
2020-03-28,84.0
2020-03-29,95.0
2020-03-30,102.0
2020-03-31,123.0
2020-04-01,148.0
2020-04-02,191.0
2020-04-03,192.0
2020-04-04,229.0
2020-04-05,229.0
2020-04-06,375.0
2020-04-07,421.0
2020-04-08,506.0
2020-04-09,620.0
2020-04-10,774.0
2020-04-11,969.0
2020-04-12,1080.0
2020-04-13,1181.0
2020-04-14,1359.0
2020-04-15,1432.0
2020-04-16,1768.0
2020-04-17,2041.0
2020-04-18,2463.0
2020-04-19,2854.0
2020-04-20,3273.0
2020-04-21,3975.0
2020-04-22,4370.0
2020-04-23,5012.0
2020-04-24,5498.0
2020-04-25,5939.0
2020-04-26,6523.0
2020-04-27,7137.0
2020-04-28,7747.0
2020-04-29,8437.0
2020-04-30,9068.0
2020-05-01,10007.0
2020-05-02,10819.0
2020-05-03,11775.0
2020-05-04,12847.0
2020-05-05,14142.0
2020-05-06,15331.0
2020-05-07,16776.0
2020-05-08,17887.0
2020-05-09,19301.0
2020-05-10,20969.0
2020-05-11,22549.0
2020-05-12,24420.0
2020-05-13,26400.0
2020-05-14,27969.0
2020-05-15,30258.0
